date,rating,create,care,talk,move,work,read,write
1/1/21,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1/2/21,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
1/3/21,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1/4/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1/5/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1/6/21,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1/7/21,5,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1/8/21,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1/9/21,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1/10/21,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
1/11/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
1/12/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
1/13/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1/14/21,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
1/15/21,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1/16/21,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1/17/21,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1/18/21,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1/19/21,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
1/20/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1/21/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
1/22/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1/23/21,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
1/24/21,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1/25/21,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1/26/21,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1/27/21,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1/28/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1/29/21,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1/30/21,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1/31/21,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2/1/21,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2/2/21,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2/3/21,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2/4/21,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2/5/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2/6/21,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2/7/21,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2/8/21,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2/9/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
2/10/21,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2/11/21,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2/12/21,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
2/13/21,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2/14/21,2,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2/15/21,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2/16/21,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2/17/21,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
